CCT	x (black body)	y (black body)	u' (black body)	v' (black body)	y (daylight)	y (TM30)
1000	0.652750055750174	0.344462227197370	0.448006063702322	0.531938100300609		0.344462227197370
1010	0.651338820005714	0.345710187476526	0.445676451217456	0.532239889189381		0.345710187476526
1020	0.649930067872860	0.346948777634801	0.443371552887967	0.532536127057419		0.346948777634801
1030	0.648523859077325	0.348177799899612	0.441091235353069	0.532826804895277		0.348177799899612
1040	0.647120247807274	0.349397065326079	0.438835353507686	0.533111916513249		0.349397065326079
1050	0.645719283115238	0.350606393540134	0.436603751529559	0.533391458406769		0.350606393540134
1060	0.644321009299518	0.351805612493099	0.434396263840909	0.533665429629042		0.351805612493099
1070	0.642925466265835	0.352994558226964	0.432212716008408	0.533933831670399		0.352994558226964
1080	0.641532689869940	0.354173074649700	0.430052925585044	0.534196668343938		0.354173074649700
1090	0.640142712241891	0.355341013319936	0.427916702897234	0.534453945677016		0.355341013319936
1100	0.638755562092687	0.356498233240403	0.425803851780389	0.534705671808211		0.356498233240403
1110	0.637371265003916	0.357644600659585	0.423714170265937	0.534951856889382		0.357644600659585
1120	0.635989843701090	0.358779988881019	0.421647451222660	0.535192512992502		0.358779988881019
1130	0.634611318311292	0.359904278079781	0.419603482955027	0.535427654020944		0.359904278079781
1140	0.633235706605755	0.361017355125666	0.417582049761090	0.535657295624932		0.361017355125666
1150	0.631863024228000	0.362119113412632	0.415582932452335	0.535881455120893		0.362119113412632
1160	0.630493284908101	0.363209452694114	0.413605908837758	0.536100151414457		0.363209452694114
1170	0.629126500663671	0.364288278923810	0.411650754174322	0.536313404926881		0.364288278923810
1180	0.627762681988133	0.365355504101598	0.409717241585824	0.536521237524680		0.365355504101598
1190	0.626401838026807	0.366411046124246	0.407805142452073	0.536723672452270		0.366411046124246
1200	0.625043976741368	0.367454828640607	0.405914226770203	0.536920734267441		0.367454828640607
1210	0.623689105063183	0.368486780911013	0.404044263489809	0.537112448779485		0.368486780911013
1220	0.622337229036024	0.369506837670598	0.402195020823522	0.537298842989843		0.369506837670598
1230	0.620988353948665	0.370514938996308	0.400366266534550	0.537479945035096		0.370514938996308
1240	0.619642484457822	0.371511030177355	0.398557768202586	0.537655784132197		0.371511030177355
1250	0.618299624701903	0.372495061588915	0.396769293469473	0.537826390525796		0.372495061588915
1260	0.616959778406011	0.373466988568860	0.395000610265854	0.537991795437567		0.373466988568860
1270	0.615622948978640	0.374426771297343	0.393251487020033	0.538152031017401		0.374426771297343
1280	0.614289139600468	0.375374374679072	0.391521692850165	0.538307130296405		0.375374374679072
1290	0.612958353305667	0.376309768228112	0.389810997740837	0.538457127141580		0.376309768228112
1300	0.611630593056105	0.377232925955066	0.388119172705037	0.538602056212118		0.377232925955066
1310	0.610305861808828	0.378143826256513	0.386445989932455	0.538741952917236		0.378143826256513
1320	0.608984162577174	0.379042451806574	0.384791222925007	0.538876853375458		0.379042451806574
1330	0.607665498485884	0.379928789450492	0.383154646620405	0.539006794375307		0.379928789450492
1340	0.606349872820529	0.380802830100132	0.381536037504559	0.539131813337318		0.380802830100132
1350	0.605037289071589	0.381664568631302	0.379935173713550	0.539251948277334		0.381664568631302
1360	0.603727750973495	0.382514003782810	0.378351835125870	0.539367237771018		0.382514003782810
1370	0.602421262538920	0.383351138057187	0.376785803445571	0.539477720919534		0.383351138057187
1380	0.601117828088629	0.384175977622988	0.375236862276940	0.539583437316361		0.384175977622988
1390	0.599817452277141	0.384988532218637	0.373704797191272	0.539684427015183		0.384988532218637
1400	0.598520140114478	0.385788815057729	0.372189395786285	0.539780730498816		0.385788815057729
1410	0.597225896984257	0.386576842735756	0.370690447738676	0.539872388649151		0.386576842735756
1420	0.595934728658356	0.387352635138207	0.369207744850299	0.539959442718046		0.387352635138207
1430	0.594646641308391	0.388116215350000	0.367741081088410	0.540041934299173		0.388116215350000
1440	0.593361641514230	0.388867609566210	0.366290252620392	0.540119905300751		0.388867609566210
1450	0.592079736269747	0.389606847004059	0.364855057843367	0.540193397919161		0.389606847004059
1460	0.590800932986013	0.390333959816145	0.363435297409041	0.540262454613409		0.390333959816145
1470	0.589525239492135	0.391048983004883	0.362030774244144	0.540327118080405		0.391048983004883
1480	0.588252664033903	0.391751954338129	0.360641293566789	0.540387431231037		0.391751954338129
1490	0.586983215270435	0.392442914265982	0.359266662899036	0.540443437167018		0.392442914265982
1500	0.585716902268969	0.393121905838739	0.357906692075966	0.540495179158489		0.393121905838739
1510	0.584453734497981	0.393788974625991	0.356561193251512	0.540542700622337		0.393788974625991
1520	0.583193721818756	0.394444168636845	0.355229980901307	0.540586045101235		0.394444168636845
1530	0.581936874475565	0.395087538241273	0.353912871822783	0.540625256243366		0.395087538241273
1540	0.580683203084578	0.395719136092572	0.352609685132728	0.540660377782815		0.395719136092572
1550	0.579432718621644	0.396339017050928	0.351320242262510	0.540691453520616		0.396339017050928
1560	0.578185432409047	0.396947238108083	0.350044366951169	0.540718527306440		0.396947238108083
1570	0.576941356101364	0.397543858313098	0.348781885236533	0.540741643020898		0.397543858313098
1580	0.575700501670519	0.398128938699214	0.347532625444542	0.540760844558445		0.398128938699214
1590	0.574462881390147	0.398702542211806	0.346296418176930	0.540776175810883		0.398702542211806
1600	0.573228507819347	0.399264733637420	0.345073096297408	0.540787680651431		0.399264733637420
1610	0.571997393785926	0.399815579533917	0.343862494916486	0.540795402919353		0.399815579533917
1620	0.570769552369208	0.400355148161688	0.342664451375053	0.540799386405143		0.400355148161688
1630	0.569544996882493	0.400883509415978	0.341478805226846	0.540799674836231		0.400883509415978
